date,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2
1995-01-01,34.1,19.8,0.0,32,20,21.28
1995-01-02,34.4,21.6,0.0,35,23,21.0
1995-01-03,34.6,20.9,0.0,44,16,21.16
1995-01-04,33.9,20.5,0.0,29,13,21.63
1995-01-05,34.0,19.1,0.0,28,10,21.86
1995-01-06,33.6,18.5,0.0,28,11,22.03
1995-01-07,32.9,17.9,0.0,28,12,22.0
1995-01-08,33.6,18.9,0.0,27,11,21.71
1995-01-09,33.4,19.2,0.0,22,11,21.73
1995-01-10,31.7,19.8,0.0,18,11,21.74
1995-01-11,31.0,18.6,0.0,17,10,21.93
1995-01-12,31.7,17.4,0.0,25,12,22.0
1995-01-13,32.7,18.3,0.0,27,13,21.83
1995-01-14,33.5,19.0,0.0,27,13,21.99
1995-01-15,33.9,19.8,0.0,28,13,21.35
1995-01-16,34.2,21.2,0.0,34,14,18.89
1995-01-17,34.1,21.9,0.0,27,15,21.11
1995-01-18,33.6,20.5,0.0,24,12,21.8
1995-01-19,33.7,20.0,0.0,24,13,22.01
1995-01-20,34.6,19.9,0.0,24,14,22.05
1995-01-21,34.8,19.7,0.0,29,15,22.35
1995-01-22,35.5,19.9,0.0,30,14,22.41
1995-01-23,35.8,21.1,0.0,29,14,22.62
1995-01-24,34.6,19.8,0.0,32,14,22.72
1995-01-25,34.0,19.8,0.0,28,14,22.73
1995-01-26,33.6,19.8,0.0,25,14,22.39
1995-01-27,34.6,19.8,0.0,27,13,22.74
1995-01-28,35.6,20.3,0.0,27,12,22.71
1995-01-29,36.4,21.1,0.0,27,12,22.52
1995-01-30,35.8,20.9,0.0,42,11,22.74
1995-01-31,35.5,20.9,0.0,24,10,22.94
1995-02-01,35.1,20.8,0.0,19,9,22.99
1995-02-02,35.1,20.4,0.0,20,9,23.13
1995-02-03,35.0,21.0,0.0,20,10,21.77
1995-02-04,35.1,22.2,0.0,18,8,22.69
1995-02-05,35.1,21.2,0.0,17,8,22.1
