date,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,doy,p7_mm,p30_mm,dry_day,dry_streak_days,cdd_30_max,heat_day_35C,heat_7_count,heat_30_count,precip_clim_daily_mean_mm,p7_clim_mm,p30_clim_mm,p30_pct_of_normal,p30_anom_pct,p7_pct_of_normal,p7_anom_pct
2025-01-01,36.8,23.0,0.0,33,14,18.82,1,0.0,0.0,True,1,1.0,True,1,1,0.0032258064516129,0.0064516129032258,1.232258064516129,0.0,-0.9999999991884816,0.0,-0.9999998450000239
2025-01-02,36.8,22.8,0.0,34,15,18.81,2,0.0,0.0,True,2,2.0,True,2,2,0.0,0.0064516129032258,1.2032258064516128,0.0,-0.9999999991689007,0.0,-0.9999998450000239
2025-01-03,36.0,22.8,0.0,31,16,19.02,3,0.0,0.0,True,3,3.0,True,3,3,0.0064516129032258,0.0129032258064516,1.2096774193548385,0.0,-0.9999999991733333,0.0,-0.999999922500006
2025-01-04,36.6,22.5,0.0,33,13,19.17,4,0.0,0.0,True,4,4.0,True,4,4,0.0290322580645161,0.041935483870967696,1.2354838709677416,0.0,-0.9999999991906005,0.0,-0.9999999761538467
2025-01-05,36.9,22.2,0.0,36,12,19.36,5,0.0,0.0,True,5,5.0,True,5,5,0.0,0.041935483870967696,1.2354838709677418,0.0,-0.9999999991906005,0.0,-0.9999999761538467
2025-01-06,36.9,22.8,0.0,32,12,19.39,6,0.0,0.0,True,6,6.0,True,6,6,0.0,0.041935483870967696,1.225806451612903,0.0,-0.9999999991842105,0.0,-0.9999999761538467
2025-01-07,37.1,21.9,0.0,33,11,19.61,7,0.0,0.0,True,7,7.0,True,7,7,0.0,0.0387096774193548,1.225806451612903,0.0,-0.9999999991842105,0.0,-0.9999999741666673
2025-01-08,36.7,22.8,0.0,29,11,19.62,8,0.0,0.0,True,8,8.0,True,7,8,0.0580645161290322,0.0935483870967741,1.283870967741935,0.0,-0.9999999992211055,0.0,-0.999999989310345
2025-01-09,35.9,22.8,0.0,26,11,19.76,9,0.0,0.0,True,9,9.0,True,7,9,0.0,0.0935483870967741,1.2838709677419353,0.0,-0.9999999992211055,0.0,-0.999999989310345
2025-01-10,34.8,21.3,0.0,26,11,19.61,10,0.0,0.0,True,10,10.0,False,6,9,0.0,0.0870967741935483,1.2838709677419353,0.0,-0.9999999992211055,0.0,-0.9999999885185187
2025-01-11,35.4,20.4,0.0,24,11,19.97,11,0.0,0.0,True,11,11.0,True,6,10,0.0,0.0580645161290322,1.2838709677419353,0.0,-0.9999999992211055,0.0,-0.9999999827777781
2025-01-12,35.3,21.2,0.0,26,12,19.64,12,0.0,0.0,True,12,12.0,True,6,11,0.0258064516129032,0.08387096774193539,1.3032258064516127,0.0,-0.9999999992326732,0.0,-0.9999999880769233
2025-01-13,35.6,21.4,0.0,28,11,19.7,13,0.0,0.0,True,13,13.0,True,6,12,0.032258064516129,0.1161290322580644,1.3258064516129031,0.0,-0.999999999245742,0.0,-0.999999991388889
2025-01-14,36.2,21.2,0.0,30,10,19.8,14,0.0,0.0,True,14,14.0,True,6,13,0.0032258064516129,0.1193548387096773,1.329032258064516,0.0,-0.9999999992475728,0.0,-0.9999999916216217
2025-01-15,36.7,21.8,0.0,30,11,19.83,15,0.0,0.0,True,15,15.0,True,6,14,0.0129032258064516,0.0741935483870967,1.3419354838709676,0.0,-0.9999999992548076,0.0,-0.9999999865217393
2025-01-16,37.2,22.2,0.0,28,10,19.9,16,0.0,0.0,True,16,16.0,True,6,15,0.0,0.0741935483870967,1.3064516129032258,0.0,-0.9999999992345678,0.0,-0.9999999865217393
