date,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2
2025-01-01,36.8,23.0,0.0,33,14,18.82
2025-01-02,36.8,22.8,0.0,34,15,18.81
2025-01-03,36.0,22.8,0.0,31,16,19.02
2025-01-04,36.6,22.5,0.0,33,13,19.17
2025-01-05,36.9,22.2,0.0,36,12,19.36
2025-01-06,36.9,22.8,0.0,32,12,19.39
2025-01-07,37.1,21.9,0.0,33,11,19.61
2025-01-08,36.7,22.8,0.0,29,11,19.62
2025-01-09,35.9,22.8,0.0,26,11,19.76
2025-01-10,34.8,21.3,0.0,26,11,19.61
2025-01-11,35.4,20.4,0.0,24,11,19.97
2025-01-12,35.3,21.2,0.0,26,12,19.64
2025-01-13,35.6,21.4,0.0,28,11,19.7
2025-01-14,36.2,21.2,0.0,30,10,19.8
2025-01-15,36.7,21.8,0.0,30,11,19.83
2025-01-16,37.2,22.2,0.0,28,10,19.9
2025-01-17,35.2,22.5,0.0,29,12,19.28
2025-01-18,35.4,22.1,0.0,26,11,19.02
2025-01-19,35.2,22.2,0.0,23,10,17.97
2025-01-20,36.2,21.5,0.0,23,9,20.26
2025-01-21,37.2,22.0,0.0,23,10,20.25
2025-01-22,38.3,22.2,0.0,32,14,20.13
2025-01-23,37.9,23.2,0.0,51,13,19.11
2025-01-24,38.0,25.2,0.0,60,9,19.51
2025-01-25,38.2,23.1,0.0,24,11,20.45
2025-01-26,37.5,24.8,0.0,57,14,19.26
2025-01-27,36.8,21.5,0.0,23,6,21.51
2025-01-28,37.2,21.8,0.0,23,9,21.04
2025-01-29,36.8,22.9,0.0,27,11,20.39
2025-01-30,36.8,22.9,0.0,50,12,19.71
2025-01-31,37.3,22.7,0.0,25,11,20.74
2025-02-01,37.0,22.4,0.0,36,13,20.5
2025-02-02,36.3,23.1,0.0,34,10,20.89
2025-02-03,36.8,23.5,0.0,23,12,19.99
2025-02-04,37.5,22.9,0.0,22,10,21.3
2025-02-05,38.8,23.5,0.0,27,7,21.65
2025-02-06,38.7,22.2,0.0,25,10,21.78
2025-02-07,38.0,22.0,0.0,32,17,21.41
2025-02-08,38.8,26.2,0.0,49,16,20.94
2025-02-09,37.4,26.2,0.0,60,17,19.25
2025-02-10,38.8,25.2,0.0,34,14,21.6
2025-02-11,39.8,25.0,0.0,27,9,21.95
2025-02-12,39.4,26.6,0.0,44,10,21.92
2025-02-13,38.8,26.8,0.0,60,19,19.95
2025-02-14,38.2,26.2,0.0,52,9,18.73
2025-02-15,39.2,23.7,0.0,28,10,22.07
2025-02-16,39.0,24.5,0.0,43,9,21.73
2025-02-17,39.2,25.3,0.0,61,17,21.72
2025-02-18,40.0,26.5,0.0,42,17,21.42
2025-02-19,38.2,27.5,0.0,71,23,19.76
2025-02-20,38.8,28.5,0.0,65,26,20.49
2025-02-21,35.9,27.0,0.0,69,30,12.73
2025-02-22,38.5,26.5,0.0,68,11,21.52
2025-02-23,36.5,25.5,0.0,75,12,13.34
2025-02-24,38.6,25.3,0.0,35,9,20.84
2025-02-25,37.3,24.2,0.0,20,9,22.72
2025-02-26,37.5,24.0,0.0,19,9,22.82
2025-02-27,38.9,23.6,0.0,24,8,22.68
2025-02-28,38.5,25.8,0.0,51,15,21.69
2025-03-01,38.5,27.1,0.0,68,20,21.34
2025-03-02,39.2,28.5,0.0,60,21,21.49
2025-03-03,39.4,28.3,0.0,66,22,21.27
2025-03-04,39.7,29.7,0.0,61,23,21.09
2025-03-05,38.6,28.5,0.0,67,27,20.51
2025-03-06,37.6,27.2,0.0,72,28,19.5
2025-03-07,39.0,29.7,0.0,57,28,20.34
2025-03-08,38.5,27.5,0.0,69,29,20.99
2025-03-09,39.5,27.8,0.0,75,24,21.19
2025-03-10,39.2,28.0,0.1,69,24,20.92
2025-03-11,37.2,27.8,0.0,66,34,20.92
2025-03-12,40.5,26.8,0.0,73,21,21.08
2025-03-13,39.6,28.0,0.0,66,27,20.5
2025-03-14,38.2,25.5,9.1,83,33,20.78
2025-03-15,35.9,25.6,0.0,87,39,18.16
2025-03-16,38.5,27.8,0.0,74,28,20.98
2025-03-17,37.8,26.0,0.0,77,26,20.57
2025-03-18,38.2,27.6,0.0,69,26,21.52
2025-03-19,37.4,27.1,0.0,68,32,21.09
2025-03-20,37.9,26.4,0.0,70,23,21.97
2025-03-21,37.5,27.1,6.0,73,35,18.77
2025-03-22,37.2,27.5,0.0,70,33,21.63
2025-03-23,37.1,27.1,0.1,72,35,20.85
2025-03-24,36.8,27.7,0.0,71,36,21.12
2025-03-25,37.8,28.0,0.3,70,33,21.05
2025-03-26,34.3,26.5,0.5,77,46,15.02
2025-03-27,36.1,26.2,1.3,82,39,18.44
2025-03-28,37.0,26.0,0.2,79,38,20.76
2025-03-29,37.6,25.3,4.9,90,36,22.1
2025-03-30,38.5,26.6,0.0,80,28,21.87
2025-03-31,39.6,27.2,0.0,74,21,22.41
2025-04-01,38.8,27.9,0.0,72,27,22.69
2025-04-02,38.5,28.4,0.0,73,27,22.05
2025-04-03,38.7,25.9,0.0,83,23,22.23
2025-04-04,38.4,28.0,0.0,72,30,22.48
2025-04-05,39.5,28.5,0.0,65,23,22.65
2025-04-06,39.0,28.8,0.0,68,28,22.46
2025-04-07,38.7,28.1,0.0,75,30,22.04
2025-04-08,37.4,27.9,0.1,75,38,22.14
2025-04-09,34.0,24.8,0.6,90,45,20.46
2025-04-10,35.9,27.1,0.0,76,44,22.1
2025-04-11,35.1,25.1,4.1,87,48,20.2
2025-04-12,35.8,27.0,0.0,81,39,20.08
2025-04-13,36.5,27.5,0.0,75,34,22.95
2025-04-14,36.3,27.4,0.5,71,40,21.97
2025-04-15,36.0,27.6,0.2,67,39,21.19
2025-04-16,36.8,26.9,0.8,80,37,22.31
2025-04-17,34.0,27.1,0.9,77,52,16.65
2025-04-18,36.8,27.5,0.8,83,42,23.17
2025-04-19,35.7,25.8,0.5,81,44,22.09
2025-04-20,36.2,26.3,0.1,80,43,22.57
2025-04-21,36.8,27.1,0.6,72,43,23.21
2025-04-22,38.0,27.4,0.4,73,36,23.28
2025-04-23,33.5,27.2,0.6,75,46,11.98
2025-04-24,36.7,25.7,0.0,88,40,23.34
2025-04-25,37.9,27.5,0.1,74,38,23.37
2025-04-26,34.8,25.9,1.4,80,47,21.21
2025-04-27,36.0,25.5,0.2,87,40,16.27
2025-04-28,36.9,25.6,11.2,92,39,23.39
2025-04-29,33.7,25.0,2.0,94,50,22.11
2025-04-30,33.6,25.2,1.2,86,52,19.81
2025-05-01,32.8,26.1,9.0,83,48,16.46
2025-05-02,32.8,24.5,1.7,94,54,17.46
2025-05-03,33.8,25.6,0.6,90,48,16.14
2025-05-04,34.2,26.9,0.7,81,50,19.16
2025-05-05,34.8,27.0,0.2,83,48,16.34
2025-05-06,35.4,26.8,0.1,83,42,21.75
2025-05-07,35.8,26.5,0.3,76,44,22.11
2025-05-08,35.2,26.7,0.0,79,45,23.79
2025-05-09,36.5,26.3,0.6,79,43,22.5
2025-05-10,34.3,25.4,0.0,89,49,22.47
2025-05-11,35.3,26.6,0.3,86,48,23.09
2025-05-12,35.6,27.0,0.1,73,47,22.38
2025-05-13,35.1,26.8,0.0,77,46,22.35
2025-05-14,34.5,26.0,0.2,81,49,22.14
2025-05-15,36.0,26.4,0.0,81,42,23.52
2025-05-16,34.1,25.5,4.8,92,50,22.42
2025-05-17,32.1,23.9,4.1,97,63,18.12
2025-05-18,30.9,24.0,4.8,98,61,15.85
2025-05-19,33.5,25.0,0.0,95,49,23.01
2025-05-20,34.8,24.0,20.0,95,49,22.92
2025-05-21,33.2,23.6,0.0,94,52,19.02
